Date/Time,Location,Sunlight,Magnetic field strength,Temperature,Humidity
2022-04-16 03:37:12.768161,IERS2010 latitude -13.0466 N longitude 14.7593 E elevation 417672.1 m,In darkness,"x: 20.301586151123047, y: -2.1247334480285645, z: -10.205101013183594",35.0447°C,28.1839%
2022-04-16 03:37:27.834660,IERS2010 latitude -12.2907 N longitude 15.3304 E elevation 417438.7 m,In darkness,"x: 20.018108367919922, y: -2.0157744884490967, z: -10.41718578338623",34.9203°C,29.4322%
2022-04-16 03:37:42.934951,IERS2010 latitude -11.5317 N longitude 15.8991 E elevation 417210.5 m,In darkness,"x: 19.72496795654297, y: -2.0329220294952393, z: -10.68370246887207",35.0269°C,28.1104%
2022-04-16 03:37:58.047876,IERS2010 latitude -10.7705 N longitude 16.4650 E elevation 416987.9 m,In darkness,"x: 19.28744888305664, y: -2.038717746734619, z: -11.053401947021484",34.9203°C,28.9121%
2022-04-16 03:38:13.144585,IERS2010 latitude -10.0089 N longitude 17.0272 E elevation 416771.6 m,In sunlight,"x: 18.827651977539062, y: -2.133563280105591, z: -11.123862266540527",34.9558°C,29.5301%
2022-04-16 03:38:28.272281,IERS2010 latitude -9.2444 N longitude 17.5876 E elevation 416561.1 m,In sunlight,"x: 18.368167877197266, y: -1.9893646240234375, z: -11.256501197814941",34.938°C,28.8998%
2022-04-16 03:38:43.344955,IERS2010 latitude -8.4815 N longitude 18.1433 E elevation 416357.6 m,In sunlight,"x: 17.903366088867188, y: -1.8210773468017578, z: -11.81027603149414",34.9736°C,29.7106%
2022-04-16 03:38:58.444960,IERS2010 latitude -7.7163 N longitude 18.6977 E elevation 416160.1 m,In sunlight,"x: 17.477108001708984, y: -1.841416835784912, z: -12.15384578704834",34.9736°C,28.9671%
2022-04-16 03:39:13.545011,IERS2010 latitude -6.9501 N longitude 19.2499 E elevation 415969.2 m,In sunlight,"x: 16.895158767700195, y: -1.644763708114624, z: -12.532032012939453",34.9914°C,29.8544%
2022-04-16 03:39:28.644625,IERS2010 latitude -6.1830 N longitude 19.8001 E elevation 415784.8 m,In sunlight,"x: 16.380043029785156, y: -1.616209864616394, z: -13.021214485168457",35.0092°C,29.0712%
2022-04-16 03:39:43.774329,IERS2010 latitude -5.4137 N longitude 20.3497 E elevation 415606.9 m,In sunlight,"x: 15.958822250366211, y: -1.277703046798706, z: -13.273200988769531",34.9914°C,27.3731%
2022-04-16 03:39:58.865702,IERS2010 latitude -4.6456 N longitude 20.8963 E elevation 415436.3 m,In sunlight,"x: 15.476480484008789, y: -0.9583226442337036, z: -13.695348739624023",34.9914°C,28.9029%
2022-04-16 03:40:13.960640,IERS2010 latitude -3.8768 N longitude 21.4418 E elevation 415272.6 m,In sunlight,"x: 15.103482246398926, y: -0.5931640863418579, z: -14.011772155761719",35.0269°C,29.3404%
2022-04-16 03:40:29.050064,IERS2010 latitude -3.1078 N longitude 21.9860 E elevation 415115.9 m,In sunlight,"x: 14.69045352935791, y: -0.39825549721717834, z: -14.353448867797852",34.938°C,29.6035%
2022-04-16 03:40:44.156502,IERS2010 latitude -2.3375 N longitude 22.5300 E elevation 414966.1 m,In sunlight,"x: 14.22530746459961, y: -0.006694095209240913, z: -14.797331809997559",34.9558°C,28.8172%
2022-04-16 03:40:59.303661,IERS2010 latitude -1.5648 N longitude 23.0748 E elevation 414823.0 m,In sunlight,"x: 13.875300407409668, y: 0.27923858165740967, z: -15.120599746704102",34.9203°C,29.0589%
2022-04-16 03:41:14.378614,IERS2010 latitude -0.7956 N longitude 23.6167 E elevation 414687.9 m,In sunlight,"x: 13.311420440673828, y: 0.7247105240821838, z: -15.371550559997559",35.0092°C,28.6551%
2022-04-16 03:41:29.476714,IERS2010 latitude -0.0251 N longitude 24.1591 E elevation 414559.8 m,In sunlight,"x: 12.811504364013672, y: 1.108887791633606, z: -15.617634773254395",34.938°C,26.2227%
2022-04-16 03:41:44.585568,IERS2010 latitude +0.7459 N longitude 24.7019 E elevation 414438.9 m,In sunlight,"x: 12.370355606079102, y: 1.556113839149475, z: -15.979092597961426",34.9203°C,30.7631%
2022-04-16 03:41:59.684975,IERS2010 latitude +1.5165 N longitude 25.2446 E elevation 414325.3 m,In sunlight,"x: 11.986307144165039, y: 2.0782909393310547, z: -16.54590606689453",34.9914°C,29.5944%
2022-04-16 03:42:14.822839,IERS2010 latitude +2.2888 N longitude 25.7892 E elevation 414218.9 m,In sunlight,"x: 11.476358413696289, y: 2.676668882369995, z: -17.0277042388916",35.0625°C,29.0987%
2022-04-16 03:42:29.897259,IERS2010 latitude +3.0577 N longitude 26.3322 E elevation 414120.3 m,In sunlight,"x: 10.948291778564453, y: 3.2469236850738525, z: -17.397525787353516",34.938°C,29.218%
2022-04-16 03:42:45.005880,IERS2010 latitude +3.8279 N longitude 26.8772 E elevation 414028.8 m,In sunlight,"x: 10.571464538574219, y: 3.7922868728637695, z: -17.80777359008789",34.9914°C,29.2639%
2022-04-16 03:43:00.097111,IERS2010 latitude +4.5969 N longitude 27.4227 E elevation 413944.8 m,In sunlight,"x: 10.003094673156738, y: 4.41524076461792, z: -18.223623275756836",34.9736°C,29.2976%
2022-04-16 03:43:15.195855,IERS2010 latitude +5.3658 N longitude 27.9699 E elevation 413868.1 m,In sunlight,"x: 9.690897941589355, y: 4.977353572845459, z: -18.698375701904297",35.0092°C,29.6372%
2022-04-16 03:43:30.334324,IERS2010 latitude +6.1360 N longitude 28.5200 E elevation 413798.6 m,In sunlight,"x: 9.284218788146973, y: 5.684833526611328, z: -19.026472091674805",35.0269°C,29.4383%
2022-04-16 03:43:45.408085,IERS2010 latitude +6.9023 N longitude 29.0695 E elevation 413736.7 m,In sunlight,"x: 8.765069961547852, y: 6.312159061431885, z: -19.492961883544922",35.0269°C,28.9059%
2022-04-16 03:44:00.505689,IERS2010 latitude +7.6690 N longitude 29.6219 E elevation 413682.0 m,In sunlight,"x: 8.547684669494629, y: 6.985799312591553, z: -19.762554168701172",34.9736°C,29.01%
2022-04-16 03:44:15.595107,IERS2010 latitude +8.4343 N longitude 30.1762 E elevation 413634.6 m,In sunlight,"x: 8.204437255859375, y: 7.66623592376709, z: -20.23731231689453",35.0092°C,29.0773%
2022-04-16 03:44:30.689201,IERS2010 latitude +9.1990 N longitude 30.7331 E elevation 413594.4 m,In sunlight,"x: 7.79878568649292, y: 8.496057510375977, z: -20.51886558532715",34.9558°C,29.3955%
2022-04-16 03:44:45.834655,IERS2010 latitude +9.9651 N longitude 31.2946 E elevation 413561.2 m,In sunlight,"x: 7.44876766204834, y: 9.307095527648926, z: -20.808500289916992",34.9736°C,28.9916%
2022-04-16 03:45:00.904769,IERS2010 latitude +10.7262 N longitude 31.8562 E elevation 413535.4 m,In sunlight,"x: 7.184422492980957, y: 9.973620414733887, z: -21.204795837402344",35.1158°C,29.0712%
2022-04-16 03:45:15.999238,IERS2010 latitude +11.4873 N longitude 32.4219 E elevation 413516.5 m,In sunlight,"x: 6.985326290130615, y: 10.633318901062012, z: -21.483945846557617",35.1514°C,29.8973%
2022-04-16 03:45:31.091688,IERS2010 latitude +12.2470 N longitude 32.9909 E elevation 413504.6 m,In sunlight,"x: 6.568788528442383, y: 11.381816864013672, z: -21.729286193847656",35.0092°C,29.0283%
2022-04-16 03:45:46.181660,IERS2010 latitude +13.0050 N longitude 33.5633 E elevation 413499.5 m,In sunlight,"x: 6.366488456726074, y: 12.263422012329102, z: -22.084505081176758",35.0625°C,28.7774%
2022-04-16 03:46:01.314911,IERS2010 latitude +13.7635 N longitude 34.1414 E elevation 413501.3 m,In sunlight,"x: 6.027309894561768, y: 13.197111129760742, z: -22.431169509887695",35.0625°C,28.9916%
2022-04-16 03:46:16.401185,IERS2010 latitude +14.5181 N longitude 34.7217 E elevation 413509.7 m,In sunlight,"x: 5.867018699645996, y: 13.977227210998535, z: -22.55103874206543",35.0803°C,29.6372%
2022-04-16 03:46:31.490648,IERS2010 latitude +15.2709 N longitude 35.3066 E elevation 413524.8 m,In sunlight,"x: 5.568075656890869, y: 14.781993865966797, z: -22.632043838500977",35.0269°C,28.9518%
2022-04-16 03:46:46.581637,IERS2010 latitude +16.0219 N longitude 35.8961 E elevation 413546.3 m,In sunlight,"x: 5.461585521697998, y: 15.654555320739746, z: -23.062488555908203",34.9558°C,30.0839%
2022-04-16 03:47:01.686534,IERS2010 latitude +16.7716 N longitude 36.4911 E elevation 413574.3 m,In sunlight,"x: 5.258571624755859, y: 16.362749099731445, z: -23.355134963989258",35.0625°C,29.0283%
2022-04-16 03:47:16.825329,IERS2010 latitude +17.5208 N longitude 37.0926 E elevation 413608.5 m,In sunlight,"x: 5.109864711761475, y: 17.944276809692383, z: -23.499652862548828",35.1514°C,29.6953%
2022-04-16 03:47:31.900711,IERS2010 latitude +18.2646 N longitude 37.6970 E elevation 413648.8 m,In sunlight,"x: 5.015148162841797, y: 18.549306869506836, z: -23.710731506347656",35.1336°C,29.215%
2022-04-16 03:47:46.989933,IERS2010 latitude +19.0066 N longitude 38.3077 E elevation 413695.1 m,In sunlight,"x: 4.974870204925537, y: 19.291751861572266, z: -24.030866622924805",35.0269°C,28.8692%
2022-04-16 03:48:02.084194,IERS2010 latitude +19.7464 N longitude 38.9245 E elevation 413747.3 m,In sunlight,"x: 4.809175968170166, y: 19.8875675201416, z: -24.378755569458008",35.0981°C,28.1166%
2022-04-16 03:48:17.169949,IERS2010 latitude +20.4831 N longitude 39.5473 E elevation 413805.2 m,In sunlight,"x: 4.731728553771973, y: 20.679759979248047, z: -24.680023193359375",35.0981°C,28.5816%
2022-04-16 03:48:32.310637,IERS2010 latitude +21.2197 N longitude 40.1789 E elevation 413868.8 m,In sunlight,"x: 4.657358169555664, y: 21.3709659576416, z: -24.819725036621094",35.0803°C,28.4378%
2022-04-16 03:48:47.388624,IERS2010 latitude +21.9504 N longitude 40.8148 E elevation 413937.6 m,In sunlight,"x: 4.7794599533081055, y: 22.119888305664062, z: -25.230276107788086",35.0625°C,29.2792%
2022-04-16 03:49:02.486755,IERS2010 latitude +22.6789 N longitude 41.4587 E elevation 414011.8 m,In sunlight,"x: 4.6896162033081055, y: 22.914682388305664, z: -25.148670196533203",35.1336°C,29.0589%
2022-04-16 03:49:17.596577,IERS2010 latitude +23.4048 N longitude 42.1106 E elevation 414091.1 m,In sunlight,"x: 4.676063537597656, y: 23.941822052001953, z: -25.142559051513672",35.1336°C,29.013%
2022-04-16 03:49:32.690683,IERS2010 latitude +24.1265 N longitude 42.7696 E elevation 414175.2 m,In sunlight,"x: 4.674434185028076, y: 24.813568115234375, z: -25.093326568603516",34.9736°C,29.6617%
2022-04-16 03:49:47.816907,IERS2010 latitude +24.8463 N longitude 43.4381 E elevation 414264.3 m,In sunlight,"x: 4.573141574859619, y: 25.662002563476562, z: -25.526517868041992",35.0625°C,29.1201%
2022-04-16 03:50:02.915103,IERS2010 latitude +25.5611 N longitude 44.1139 E elevation 414357.9 m,In sunlight,"x: 4.692886829376221, y: 26.593608856201172, z: -25.57301139831543",35.0447°C,29.3006%
2022-04-16 03:50:18.014680,IERS2010 latitude +26.2721 N longitude 44.7985 E elevation 414455.8 m,In sunlight,"x: 4.688258647918701, y: 27.303075790405273, z: -25.629819869995117",35.0803°C,29.1324%
2022-04-16 03:50:33.106595,IERS2010 latitude +26.9787 N longitude 45.4919 E elevation 414557.9 m,In sunlight,"x: 4.837745666503906, y: 27.92762565612793, z: -25.620088577270508",35.0092°C,28.8203%
2022-04-16 03:50:48.216631,IERS2010 latitude +27.6821 N longitude 46.1955 E elevation 414664.1 m,In sunlight,"x: 4.88429594039917, y: 28.55811882019043, z: -25.733793258666992",35.0803°C,29.0375%
2022-04-16 03:51:03.361150,IERS2010 latitude +28.3826 N longitude 46.9107 E elevation 414774.5 m,In sunlight,"x: 4.962441444396973, y: 29.306930541992188, z: -25.622085571289062",35.0981°C,28.9396%
2022-04-16 03:51:18.425636,IERS2010 latitude +29.0749 N longitude 47.6322 E elevation 414887.9 m,In sunlight,"x: 5.011153697967529, y: 30.019006729125977, z: -25.638425827026367",35.0981°C,30.552%
2022-04-16 03:51:33.520906,IERS2010 latitude +29.7639 N longitude 48.3658 E elevation 415005.0 m,In sunlight,"x: 5.258626937866211, y: 30.581623077392578, z: -25.689701080322266",34.9736°C,29.0528%
2022-04-16 03:51:48.609986,IERS2010 latitude +30.4477 N longitude 49.1099 E elevation 415125.3 m,In sunlight,"x: 5.344610214233398, y: 31.211759567260742, z: -25.66722297668457",35.1514°C,29.2119%
2022-04-16 03:52:03.716573,IERS2010 latitude +31.1271 N longitude 49.8662 E elevation 415248.8 m,In sunlight,"x: 5.47130823135376, y: 31.9393253326416, z: -25.863489151000977",35.0625°C,28.9977%
2022-04-16 03:52:18.864618,IERS2010 latitude +31.8030 N longitude 50.6363 E elevation 415375.5 m,In sunlight,"x: 5.421428680419922, y: 32.580970764160156, z: -26.005550384521484",35.1158°C,29.2456%
2022-04-16 03:52:33.925004,IERS2010 latitude +32.4695 N longitude 51.4140 E elevation 415504.1 m,In sunlight,"x: 5.6084065437316895, y: 33.36823272705078, z: -25.821413040161133",35.0269°C,28.3766%
2022-04-16 03:52:49.016600,IERS2010 latitude +33.1316 N longitude 52.2058 E elevation 415635.4 m,In sunlight,"x: 5.693212985992432, y: 34.028526306152344, z: -25.86267852783203",35.1158°C,29.1079%
2022-04-16 03:53:04.109188,IERS2010 latitude +33.7877 N longitude 53.0104 E elevation 415769.0 m,In sunlight,"x: 5.795707702636719, y: 34.656837463378906, z: -26.026060104370117",35.0803°C,28.7621%
2022-04-16 03:53:19.201627,IERS2010 latitude +34.4375 N longitude 53.8283 E elevation 415904.6 m,In sunlight,"x: 5.853699684143066, y: 35.24640655517578, z: -25.979084014892578",35.0269°C,28.1655%
2022-04-16 03:53:34.334941,IERS2010 latitude +35.0826 N longitude 54.6621 E elevation 416042.4 m,In sunlight,"x: 5.966312408447266, y: 35.82761764526367, z: -25.855356216430664",35.1158°C,29.0039%
2022-04-16 03:53:49.428644,IERS2010 latitude +35.7192 N longitude 55.5077 E elevation 416181.5 m,In sunlight,"x: 6.087944030761719, y: 36.50204849243164, z: -25.897890090942383",35.0625°C,29.628%
2022-04-16 03:54:04.521768,IERS2010 latitude +36.3487 N longitude 56.3678 E elevation 416322.0 m,In sunlight,"x: 6.202867031097412, y: 36.989219665527344, z: -26.043941497802734",35.0803°C,27.3731%
2022-04-16 03:54:19.616716,IERS2010 latitude +36.9711 N longitude 57.2429 E elevation 416463.8 m,In sunlight,"x: 6.305382251739502, y: 37.573402404785156, z: -26.2674503326416",35.1158°C,29.8575%
2022-04-16 03:54:34.726606,IERS2010 latitude +37.5864 N longitude 58.1341 E elevation 416606.6 m,In sunlight,"x: 6.659231185913086, y: 38.053077697753906, z: -26.273168563842773",35.0803°C,28.8233%
2022-04-16 03:54:49.865458,IERS2010 latitude +38.1950 N longitude 59.0428 E elevation 416750.6 m,In sunlight,"x: 6.7044243812561035, y: 38.7277946472168, z: -26.317188262939453",35.0981°C,28.603%
2022-04-16 03:55:04.958351,IERS2010 latitude +38.7935 N longitude 59.9648 E elevation 416894.7 m,In sunlight,"x: 7.005213737487793, y: 39.352020263671875, z: -26.388675689697266",35.1336°C,29.2639%
2022-04-16 03:55:20.056663,IERS2010 latitude +39.3838 N longitude 60.9036 E elevation 417039.3 m,In sunlight,"x: 7.142526149749756, y: 39.91222381591797, z: -26.314647674560547",35.0447°C,28.9396%
2022-04-16 03:55:35.159579,IERS2010 latitude +39.9654 N longitude 61.8596 E elevation 417184.1 m,In sunlight,"x: 7.258998870849609, y: 40.50587463378906, z: -26.35233497619629",35.0447°C,28.9977%
2022-04-16 03:55:50.254680,IERS2010 latitude +40.5376 N longitude 62.8323 E elevation 417328.8 m,In sunlight,"x: 7.352756023406982, y: 40.959537506103516, z: -26.353199005126953",35.0625°C,28.9029%
2022-04-16 03:56:05.378827,IERS2010 latitude +41.1013 N longitude 63.8245 E elevation 417473.6 m,In sunlight,"x: 7.543797492980957, y: 41.37358093261719, z: -26.363704681396484",35.0447°C,29.4169%
2022-04-16 03:56:20.468312,IERS2010 latitude +41.6539 N longitude 64.8324 E elevation 417617.7 m,In sunlight,"x: 7.792550563812256, y: 41.90565872192383, z: -26.567955017089844",35.0625°C,28.291%
2022-04-16 03:56:35.576518,IERS2010 latitude +42.1970 N longitude 65.8598 E elevation 417761.4 m,In sunlight,"x: 7.992531776428223, y: 42.481292724609375, z: -26.638866424560547",35.0447°C,29.0314%
2022-04-16 03:56:50.670070,IERS2010 latitude +42.7290 N longitude 66.9047 E elevation 417904.1 m,In sunlight,"x: 8.23619556427002, y: 43.00126647949219, z: -26.621368408203125",35.0981°C,28.5633%
2022-04-16 03:57:05.760047,IERS2010 latitude +43.2499 N longitude 67.9683 E elevation 418045.9 m,In sunlight,"x: 8.442556381225586, y: 43.57355499267578, z: -26.46337127685547",35.0447°C,29.1109%
2022-04-16 03:57:20.890139,IERS2010 latitude +43.7609 N longitude 69.0539 E elevation 418186.8 m,In sunlight,"x: 8.68834114074707, y: 44.01175308227539, z: -26.372629165649414",35.1514°C,29.2333%
2022-04-16 03:57:35.972179,IERS2010 latitude +44.2585 N longitude 70.1554 E elevation 418326.0 m,In sunlight,"x: 8.77194881439209, y: 44.58295822143555, z: -26.378978729248047",34.9736°C,29.3282%
2022-04-16 03:57:51.076708,IERS2010 latitude +44.7447 N longitude 71.2782 E elevation 418463.9 m,In sunlight,"x: 8.920877456665039, y: 45.158485412597656, z: -26.362632751464844",35.0981°C,29.1752%
2022-04-16 03:58:06.182981,IERS2010 latitude +45.2185 N longitude 72.4208 E elevation 418600.1 m,In sunlight,"x: 9.116944313049316, y: 45.72469711303711, z: -26.17426300048828",35.0447°C,29.2333%
2022-04-16 03:58:21.270691,IERS2010 latitude +45.6787 N longitude 73.5818 E elevation 418734.3 m,In sunlight,"x: 9.434805870056152, y: 46.147159576416016, z: -25.95136260986328",35.0981°C,26.8377%
2022-04-16 03:58:36.401101,IERS2010 latitude +46.1268 N longitude 74.7661 E elevation 418866.9 m,In sunlight,"x: 9.611815452575684, y: 46.57762145996094, z: -25.900768280029297",35.0981°C,30.1573%
2022-04-16 03:58:51.494724,IERS2010 latitude +46.5600 N longitude 75.9674 E elevation 418996.9 m,In sunlight,"x: 9.801599502563477, y: 47.10295104980469, z: -25.788808822631836",35.0625°C,28.6336%
2022-04-16 03:59:06.586630,IERS2010 latitude +46.9790 N longitude 77.1886 E elevation 419124.6 m,In sunlight,"x: 10.099991798400879, y: 47.4476203918457, z: -25.94169044494629",35.0803°C,28.1227%
2022-04-16 03:59:21.686261,IERS2010 latitude +47.3835 N longitude 78.4301 E elevation 419249.9 m,In sunlight,"x: 10.466472625732422, y: 47.73976135253906, z: -26.139474868774414",35.0447°C,29.0773%
2022-04-16 03:59:36.774962,IERS2010 latitude +47.7727 N longitude 79.6905 E elevation 419372.4 m,In sunlight,"x: 10.706101417541504, y: 48.15364456176758, z: -25.912452697753906",35.1158°C,29.6341%
2022-04-16 03:59:51.910674,IERS2010 latitude +48.1475 N longitude 80.9743 E elevation 419492.5 m,In sunlight,"x: 10.945399284362793, y: 48.69022750854492, z: -25.78591537475586",35.0269°C,28.9824%
2022-04-16 04:00:07.002147,IERS2010 latitude +48.5053 N longitude 82.2736 E elevation 419609.4 m,In sunlight,"x: 11.04536247253418, y: 49.1472053527832, z: -25.789464950561523",35.1158°C,29.4536%
2022-04-16 04:00:22.094737,IERS2010 latitude +48.8467 N longitude 83.5918 E elevation 419723.2 m,In sunlight,"x: 11.317280769348145, y: 49.523414611816406, z: -25.797658920288086",35.1158°C,29.576%
2022-04-16 04:00:37.186609,IERS2010 latitude +49.1714 N longitude 84.9284 E elevation 419833.9 m,In sunlight,"x: 11.541518211364746, y: 49.785255432128906, z: -26.070083618164062",35.0625°C,32.0849%
2022-04-16 04:00:52.286750,IERS2010 latitude +49.4790 N longitude 86.2836 E elevation 419941.3 m,In sunlight,"x: 12.007652282714844, y: 50.238563537597656, z: -26.27218246459961",35.0447°C,29.986%
2022-04-16 04:01:07.430930,IERS2010 latitude +49.7699 N longitude 87.6601 E elevation 420045.6 m,In sunlight,"x: 12.410736083984375, y: 50.6566047668457, z: -26.127111434936523",35.0092°C,29.3006%
2022-04-16 04:01:22.500689,IERS2010 latitude +50.0414 N longitude 89.0465 E elevation 420145.9 m,In sunlight,"x: 12.769698143005371, y: 51.02252960205078, z: -26.02392578125",35.0269°C,29.062%
2022-04-16 04:01:37.590014,IERS2010 latitude +50.2949 N longitude 90.4505 E elevation 420242.7 m,In sunlight,"x: 13.09304428100586, y: 51.361053466796875, z: -26.048587799072266",35.0269°C,29.0467%
2022-04-16 04:01:52.684989,IERS2010 latitude +50.5299 N longitude 91.8702 E elevation 420335.9 m,In sunlight,"x: 13.557766914367676, y: 51.52200698852539, z: -26.054662704467773",35.0269°C,29.013%
2022-04-16 04:02:07.784876,IERS2010 latitude +50.7458 N longitude 93.3045 E elevation 420425.2 m,In sunlight,"x: 13.768549919128418, y: 51.86133575439453, z: -25.92230224609375",35.0092°C,28.8203%
2022-04-16 04:02:22.924505,IERS2010 latitude +50.9428 N longitude 94.7558 E elevation 420510.9 m,In sunlight,"x: 14.07116413116455, y: 52.120262145996094, z: -25.9520206451416",35.0803°C,28.1441%
2022-04-16 04:02:38.018339,IERS2010 latitude +51.1196 N longitude 96.2148 E elevation 420592.4 m,In sunlight,"x: 14.46861457824707, y: 52.488136291503906, z: -25.691213607788086",35.1158°C,28.3522%
2022-04-16 04:02:53.125744,IERS2010 latitude +51.2766 N longitude 97.6861 E elevation 420669.9 m,In sunlight,"x: 14.870676040649414, y: 52.835784912109375, z: -25.676191329956055",35.0269°C,28.7897%
2022-04-16 04:03:08.220019,IERS2010 latitude +51.4132 N longitude 99.1659 E elevation 420743.2 m,In sunlight,"x: 15.340596199035645, y: 53.161659240722656, z: -25.779558181762695",35.0625°C,29.3343%
2022-04-16 04:03:23.310022,IERS2010 latitude +51.5294 N longitude 100.6538 E elevation 420812.3 m,In sunlight,"x: 15.5973539352417, y: 53.307342529296875, z: -26.256746292114258",35.0092°C,28.958%
2022-04-16 04:03:38.446383,IERS2010 latitude +51.6253 N longitude 102.1534 E elevation 420877.5 m,In sunlight,"x: 16.07394790649414, y: 53.44881057739258, z: -26.154150009155273",34.9914°C,29.2394%
2022-04-16 04:03:53.538659,IERS2010 latitude +51.7002 N longitude 103.6546 E elevation 420938.2 m,In sunlight,"x: 16.48050308227539, y: 53.607852935791016, z: -25.949411392211914",34.9736°C,29.1354%
2022-04-16 04:04:08.636078,IERS2010 latitude +51.7542 N longitude 105.1606 E elevation 420994.6 m,In sunlight,"x: 16.883283615112305, y: 53.63888168334961, z: -25.820228576660156",34.9736°C,28.2879%
2022-04-16 04:04:23.736661,IERS2010 latitude +51.7872 N longitude 106.6700 E elevation 421046.7 m,In sunlight,"x: 17.424467086791992, y: 53.662940979003906, z: -25.706283569335938",35.0092°C,29.6341%
2022-04-16 04:04:38.836107,IERS2010 latitude +51.7993 N longitude 108.1808 E elevation 421094.4 m,In sunlight,"x: 17.931467056274414, y: 53.707271575927734, z: -25.62006187438965",35.0981°C,29.8911%
2022-04-16 04:04:53.963458,IERS2010 latitude +51.7902 N longitude 109.6945 E elevation 421137.9 m,In sunlight,"x: 18.41487693786621, y: 53.822818756103516, z: -25.541305541992188",34.938°C,29.114%
2022-04-16 04:05:09.036589,IERS2010 latitude +51.7602 N longitude 111.2014 E elevation 421176.9 m,In sunlight,"x: 18.911151885986328, y: 54.00886154174805, z: -25.554794311523438",34.9203°C,29.1813%
2022-04-16 04:05:24.131695,IERS2010 latitude +51.7092 N longitude 112.7076 E elevation 421211.5 m,In sunlight,"x: 19.345012664794922, y: 53.98462677001953, z: -25.420639038085938",34.938°C,28.7989%
2022-04-16 04:05:39.225027,IERS2010 latitude +51.6374 N longitude 114.2094 E elevation 421241.7 m,In sunlight,"x: 19.841449737548828, y: 53.974849700927734, z: -25.41870880126953",35.0092°C,29.3221%
2022-04-16 04:05:54.326031,IERS2010 latitude +51.5447 N longitude 115.7064 E elevation 421267.7 m,In sunlight,"x: 20.46508026123047, y: 54.069740295410156, z: -25.18258285522461",35.0803°C,29.27%
2022-04-16 04:06:09.467908,IERS2010 latitude +51.4311 N longitude 117.2003 E elevation 421289.3 m,In sunlight,"x: 20.851322174072266, y: 54.161556243896484, z: -24.922924041748047",34.9914°C,29.3679%
2022-04-16 04:06:24.534769,IERS2010 latitude +51.2977 N longitude 118.6784 E elevation 421306.5 m,In sunlight,"x: 21.310304641723633, y: 54.029335021972656, z: -24.652189254760742",35.0625°C,28.7407%
2022-04-16 04:06:39.629267,IERS2010 latitude +51.1438 N longitude 120.1497 E elevation 421319.4 m,In sunlight,"x: 21.68605613708496, y: 53.82206344604492, z: -24.792062759399414",34.9736°C,29.1568%
2022-04-16 04:06:54.736436,IERS2010 latitude +50.9699 N longitude 121.6113 E elevation 421328.1 m,In sunlight,"x: 22.17173194885254, y: 53.71812438964844, z: -24.83247947692871",35.0803°C,29.2272%
2022-04-16 04:07:09.838498,IERS2010 latitude +50.7762 N longitude 123.0605 E elevation 421332.6 m,In sunlight,"x: 22.74094581604004, y: 53.66083908081055, z: -24.69675636291504",34.9558°C,29.2517%
2022-04-16 04:07:24.967783,IERS2010 latitude +50.5628 N longitude 124.4991 E elevation 421332.9 m,In sunlight,"x: 23.1304931640625, y: 53.48685836791992, z: -24.528697967529297",34.9558°C,29.4291%
2022-04-16 04:07:40.058100,IERS2010 latitude +50.3308 N longitude 125.9201 E elevation 421329.2 m,In sunlight,"x: 23.639265060424805, y: 53.36042785644531, z: -24.299509048461914",34.9203°C,29.2303%
2022-04-16 04:07:55.154966,IERS2010 latitude +50.0800 N longitude 127.3266 E elevation 421321.3 m,In sunlight,"x: 24.066997528076172, y: 53.28760528564453, z: -24.288633346557617",34.938°C,29.8942%
2022-04-16 04:08:10.250617,IERS2010 latitude +49.8108 N longitude 128.7173 E elevation 421309.6 m,In sunlight,"x: 24.48925018310547, y: 53.22199249267578, z: -24.01785659790039",34.9736°C,30.4908%
2022-04-16 04:08:25.339883,IERS2010 latitude +49.5237 N longitude 130.0908 E elevation 421293.9 m,In sunlight,"x: 25.63730812072754, y: 53.22792434692383, z: -24.03057098388672",34.9736°C,29.013%
2022-04-16 04:08:40.473309,IERS2010 latitude +49.2181 N longitude 131.4510 E elevation 421274.4 m,In sunlight,"x: 26.051645278930664, y: 53.11455535888672, z: -23.869770050048828",34.9736°C,29.4322%
2022-04-16 04:08:55.562372,IERS2010 latitude +48.8961 N longitude 132.7894 E elevation 421251.2 m,In sunlight,"x: 26.304262161254883, y: 52.978172302246094, z: -23.685258865356445",34.9203°C,29.2303%
2022-04-16 04:09:10.650196,IERS2010 latitude +48.5574 N longitude 134.1093 E elevation 421224.4 m,In sunlight,"x: 26.594863891601562, y: 52.75880813598633, z: -23.45358657836914",34.9203°C,30.0655%
2022-04-16 04:09:25.746996,IERS2010 latitude +48.2021 N longitude 135.4112 E elevation 421194.1 m,In sunlight,"x: 26.963027954101562, y: 52.50762176513672, z: -23.288944244384766",35.0092°C,29.5546%
2022-04-16 04:09:40.844987,IERS2010 latitude +47.8308 N longitude 136.6941 E elevation 421160.3 m,In sunlight,"x: 27.353004455566406, y: 52.14423751831055, z: -23.19058609008789",34.9736°C,29.1171%
2022-04-16 04:09:55.984382,IERS2010 latitude +47.4428 N longitude 137.9610 E elevation 421123.1 m,In sunlight,"x: 27.811519622802734, y: 51.771907806396484, z: -23.13814353942871",34.938°C,29.6617%
