Date/Time,Location,Sunlight,Magnetic field strength,Temperature,Humidity
2022-04-16 03:11:47.416603,IERS2010 latitude -45.4238 N longitude -95.2691 E elevation 434132.4 m,In darkness,"x: 33.95301055908203, y: -3.0904524326324463, z: -13.785651206970215",34.8669°C,29.1905%
2022-04-16 03:12:02.548899,IERS2010 latitude -45.8774 N longitude -94.1014 E elevation 434286.4 m,In darkness,"x: 33.7017822265625, y: -3.0117130279541016, z: -13.96506404876709",34.9736°C,29.1905%
2022-04-16 03:12:17.644860,IERS2010 latitude -46.3165 N longitude -92.9168 E elevation 434433.6 m,In darkness,"x: 33.41793441772461, y: -2.8526079654693604, z: -14.084799766540527",35.0269°C,29.7167%
2022-04-16 03:12:32.740757,IERS2010 latitude -46.7418 N longitude -91.7124 E elevation 434574.1 m,In darkness,"x: 33.0660514831543, y: -2.845757007598877, z: -14.09925365447998",34.8847°C,29.628%
2022-04-16 03:12:47.845195,IERS2010 latitude -47.1530 N longitude -90.4877 E elevation 434707.7 m,In darkness,"x: 32.923431396484375, y: -2.8432838916778564, z: -14.062334060668945",34.938°C,29.2517%
2022-04-16 03:13:02.939407,IERS2010 latitude -47.5492 N longitude -89.2441 E elevation 434834.3 m,In darkness,"x: 32.65747833251953, y: -2.7598953247070312, z: -14.022781372070312",34.9736°C,28.9855%
2022-04-16 03:13:18.084437,IERS2010 latitude -47.9316 N longitude -87.9769 E elevation 434954.1 m,In darkness,"x: 32.517181396484375, y: -2.7996416091918945, z: -14.001626014709473",35.0269°C,29.833%
2022-04-16 03:13:33.167252,IERS2010 latitude -48.2968 N longitude -86.6957 E elevation 435066.1 m,In darkness,"x: 32.412479400634766, y: -2.7216882705688477, z: -13.966104507446289",34.9736°C,30.09%
2022-04-16 03:13:48.264938,IERS2010 latitude -48.6465 N longitude -85.3943 E elevation 435170.8 m,In darkness,"x: 32.0382080078125, y: -2.77133846282959, z: -13.94255256652832",34.9203°C,29.472%
2022-04-16 03:14:03.356606,IERS2010 latitude -48.9796 N longitude -84.0750 E elevation 435267.9 m,In darkness,"x: 31.734813690185547, y: -2.6665515899658203, z: -14.07741928100586",35.0269°C,29.9676%
2022-04-16 03:14:18.454960,IERS2010 latitude -49.2961 N longitude -82.7370 E elevation 435357.5 m,In darkness,"x: 31.503496170043945, y: -2.6094131469726562, z: -14.13992977142334",34.9914°C,29.576%
2022-04-16 03:14:33.579544,IERS2010 latitude -49.5959 N longitude -81.3791 E elevation 435439.3 m,In darkness,"x: 31.235637664794922, y: -2.468453884124756, z: -14.204022407531738",34.938°C,29.7473%
2022-04-16 03:14:48.675395,IERS2010 latitude -49.8776 N longitude -80.0069 E elevation 435513.1 m,In darkness,"x: 31.174659729003906, y: -2.490338087081909, z: -14.196159362792969",34.9736°C,29.2241%
2022-04-16 03:15:03.768788,IERS2010 latitude -50.1412 N longitude -78.6187 E elevation 435579.0 m,In darkness,"x: 31.141969680786133, y: -2.5123844146728516, z: -14.127785682678223",34.8669°C,29.0253%
2022-04-16 03:15:18.875292,IERS2010 latitude -50.3868 N longitude -77.2138 E elevation 435636.8 m,In darkness,"x: 31.031850814819336, y: -2.3921923637390137, z: -14.143034934997559",35.0269°C,29.6066%
2022-04-16 03:15:33.968113,IERS2010 latitude -50.6134 N longitude -75.7955 E elevation 435686.4 m,In darkness,"x: 30.779123306274414, y: -2.341820001602173, z: -13.734216690063477",34.9558°C,28.2512%
2022-04-16 03:15:49.104300,IERS2010 latitude -50.8216 N longitude -74.3595 E elevation 435728.0 m,In darkness,"x: 30.539024353027344, y: -2.283464193344116, z: -13.385102272033691",34.9558°C,28.7805%
2022-04-16 03:16:04.176673,IERS2010 latitude -51.0097 N longitude -72.9168 E elevation 435761.0 m,In darkness,"x: 30.338228225708008, y: -2.107285976409912, z: -13.443726539611816",34.9558°C,28.5327%
2022-04-16 03:16:19.270924,IERS2010 latitude -51.1785 N longitude -71.4604 E elevation 435785.8 m,In darkness,"x: 30.218852996826172, y: -2.4770405292510986, z: -13.493624687194824",34.8491°C,29.1477%
2022-04-16 03:16:34.366627,IERS2010 latitude -51.3274 N longitude -69.9934 E elevation 435802.2 m,In darkness,"x: 29.948684692382812, y: -2.267672300338745, z: -13.465641021728516",35.0803°C,29.6953%
2022-04-16 03:16:49.470839,IERS2010 latitude -51.4563 N longitude -68.5163 E elevation 435810.1 m,In darkness,"x: 29.859600067138672, y: -2.0605342388153076, z: -13.461441040039062",34.9736°C,29.8544%
2022-04-16 03:17:04.611050,IERS2010 latitude -51.5651 N longitude -67.0276 E elevation 435809.6 m,In darkness,"x: 29.91560935974121, y: -1.8681131601333618, z: -13.322406768798828",34.9736°C,29.0467%
2022-04-16 03:17:19.674721,IERS2010 latitude -51.6530 N longitude -65.5398 E elevation 435800.5 m,In darkness,"x: 29.674644470214844, y: -1.8047174215316772, z: -13.229105949401855",34.9736°C,29.9462%
2022-04-16 03:17:34.769116,IERS2010 latitude -51.7205 N longitude -64.0437 E elevation 435782.9 m,In darkness,"x: 29.642892837524414, y: -1.6141153573989868, z: -12.575580596923828",34.8314°C,27.8963%
2022-04-16 03:17:49.876541,IERS2010 latitude -51.7672 N longitude -62.5423 E elevation 435756.8 m,In darkness,"x: 29.551530838012695, y: -1.381799340248108, z: -12.480939865112305",34.9203°C,30.2705%
2022-04-16 03:18:04.978716,IERS2010 latitude -51.7932 N longitude -61.0388 E elevation 435722.0 m,In darkness,"x: 29.44814109802246, y: -0.6895208358764648, z: -12.57540225982666",34.9025°C,29.3924%
2022-04-16 03:18:20.110466,IERS2010 latitude -51.7982 N longitude -59.5314 E elevation 435678.7 m,In darkness,"x: 29.279420852661133, y: -0.6796269416809082, z: -12.595081329345703",34.9736°C,27.5597%
2022-04-16 03:18:35.192222,IERS2010 latitude -51.7825 N longitude -58.0293 E elevation 435627.0 m,In darkness,"x: 29.173185348510742, y: -0.5536642074584961, z: -12.681304931640625",34.9914°C,29.0865%
2022-04-16 03:18:50.297992,IERS2010 latitude -51.7458 N longitude -56.5265 E elevation 435566.6 m,In darkness,"x: 29.045974731445312, y: -0.47546693682670593, z: -12.593890190124512",34.8669°C,29.1599%
2022-04-16 03:19:05.394608,IERS2010 latitude -51.6884 N longitude -55.0279 E elevation 435497.8 m,In darkness,"x: 28.89418601989746, y: -0.34184834361076355, z: -12.595385551452637",34.9558°C,29.2731%
2022-04-16 03:19:20.486610,IERS2010 latitude -51.6104 N longitude -53.5344 E elevation 435420.6 m,In darkness,"x: 28.724050521850586, y: -0.2119588404893875, z: -12.612263679504395",34.9558°C,29.4047%
2022-04-16 03:19:35.617155,IERS2010 latitude -51.5115 N longitude -52.0431 E elevation 435334.8 m,In darkness,"x: 28.69153594970703, y: -0.17928552627563477, z: -12.732870101928711",34.9558°C,28.7866%
2022-04-16 03:19:50.711719,IERS2010 latitude -51.3925 N longitude -50.5627 E elevation 435240.7 m,In darkness,"x: 28.62763023376465, y: -0.33175262808799744, z: -12.543842315673828",35.0447°C,28.8998%
2022-04-16 03:20:05.800681,IERS2010 latitude -51.2534 N longitude -49.0914 E elevation 435138.4 m,In darkness,"x: 28.637287139892578, y: -0.339457243680954, z: -12.346929550170898",34.9736°C,28.6122%
2022-04-16 03:20:20.894625,IERS2010 latitude -51.0942 N longitude -47.6295 E elevation 435027.9 m,In darkness,"x: 28.579771041870117, y: -0.30194172263145447, z: -12.280336380004883",34.9914°C,29.1385%
2022-04-16 03:20:35.989124,IERS2010 latitude -50.9153 N longitude -46.1786 E elevation 434909.2 m,In darkness,"x: 28.616455078125, y: -0.3656329810619354, z: -12.145339012145996",34.9736°C,28.8753%
2022-04-16 03:20:51.134441,IERS2010 latitude -50.7162 N longitude -44.7349 E elevation 434781.9 m,In darkness,"x: 28.509422302246094, y: -0.31789928674697876, z: -11.970174789428711",34.9914°C,29.2547%
2022-04-16 03:21:06.222774,IERS2010 latitude -50.4987 N longitude -43.3100 E elevation 434647.2 m,In darkness,"x: 28.56428337097168, y: -0.5215611457824707, z: -11.92465591430664",34.9736°C,28.6428%
2022-04-16 03:21:21.311681,IERS2010 latitude -50.2624 N longitude -41.8991 E elevation 434504.5 m,In darkness,"x: 28.47809410095215, y: -0.426024466753006, z: -12.012319564819336",34.9914°C,29.6923%
2022-04-16 03:21:36.401590,IERS2010 latitude -50.0075 N longitude -40.5031 E elevation 434354.1 m,In darkness,"x: 28.42025375366211, y: -0.37534433603286743, z: -11.755807876586914",34.938°C,30.3684%
2022-04-16 03:21:51.506610,IERS2010 latitude -49.7342 N longitude -39.1215 E elevation 434195.8 m,In darkness,"x: 28.326583862304688, y: -0.3596859872341156, z: -11.502418518066406",34.9736°C,30.4143%
2022-04-16 03:22:06.653925,IERS2010 latitude -49.4423 N longitude -37.7528 E elevation 434029.5 m,In darkness,"x: 28.16976547241211, y: -0.29103195667266846, z: -11.106414794921875",34.9558°C,30.1267%
2022-04-16 03:22:21.731672,IERS2010 latitude -49.1343 N longitude -36.4076 E elevation 433856.5 m,In darkness,"x: 27.985979080200195, y: -0.24743621051311493, z: -10.881747245788574",34.9736°C,28.8172%
2022-04-16 03:22:36.836557,IERS2010 latitude -48.8088 N longitude -35.0777 E elevation 433675.9 m,In darkness,"x: 27.885574340820312, y: -0.1636333465576172, z: -10.65772819519043",34.9736°C,30.139%
2022-04-16 03:22:51.942206,IERS2010 latitude -48.4666 N longitude -33.7661 E elevation 433488.1 m,In darkness,"x: 27.811601638793945, y: -0.1306474357843399, z: -10.5225248336792",34.8847°C,29.0039%
2022-04-16 03:23:07.030028,IERS2010 latitude -48.1087 N longitude -32.4747 E elevation 433293.5 m,In darkness,"x: 27.768327713012695, y: 0.08707717061042786, z: -10.41022777557373",34.9203°C,29.4414%
2022-04-16 03:23:22.160531,IERS2010 latitude -47.7339 N longitude -31.1987 E elevation 433091.4 m,In darkness,"x: 27.498125076293945, y: 0.28714054822921753, z: -10.452118873596191",34.9736°C,29.0008%
2022-04-16 03:23:37.254697,IERS2010 latitude -47.3447 N longitude -29.9452 E elevation 432883.1 m,In darkness,"x: 27.396198272705078, y: 0.17996098101139069, z: -10.2860107421875",34.9736°C,29.2241%
